course_id,course_number,title,current_period_count,selected_period_count,status,candidate_counts,changed
c690d75d-4d60-4fbb-a20b-d2cad8c2260e,ECE 473,Introduction to CMOS VLSI Circuit Design,1,1,exact,{1: 1},no
a502d9f6-87ab-444a-ae4e-7b5171db517b,ECE 484,Advanced Digital System Design,2,2,exact,{2: 1},no
4a6eb203-222a-424b-82e8-16970118c777,ECE 485,Advanced Computer Architecture,1,1,exact,{1: 1},no
9396b871-fb7a-48e7-9705-4652e821c509,ECE 487,Advanced Robotics,1,1,exact,{1: 1},no
69b32f49-d5a9-416c-86b7-898fb52e2cef,ECE 495,Special Topics,1,1,exact,{1: 1},no
d0c64fab-c0e5-419e-89fc-dc671865b572,ECE 499,Independent Study,0,0,exact,{0: 1},no
53d91d94-5642-4221-b8fa-6f212022020a,ECE 499A,Independent Study,0,0,exact,{0: 1},no
5ab981aa-aad4-4345-a81f-32ae012c9ce6,ECE 499B,Independent Study,0,0,exact,{0: 1},no
92305513-26f3-464f-bd06-e1621f8fb5ce,ECE 499C,Independent Study,0,0,exact,{0: 1},no
6703d78382e047c588dd549f2874825e,ECON 477,Economics of Inequality,,,no_match,,no
62ba5112-d06c-4d38-87eb-7394398ce294,Econ 201,Introduction to Economics,1,1,exact,{1: 1},no
a5ddb85e-5d74-48c3-91b1-398a0353fa45,Econ 201S,Introduction to Economics (Scholars),1,1,exact,{1: 1},no
aa3d4840-ad3c-463e-bbba-c884312f22ca,Econ 332,Intermediate Microeconomics I,1,1,exact,{1: 1},no
d1ea7cef-a654-4caa-a959-dba97ddf797d,Econ 333,Intermediate Microeconomics II,1,1,exact,{1: 1},no
e32feafa-ee5e-4545-afc8-646df52bcc65,Econ 340,Economics of Inequality,1,1,exact,{1: 1},no
96dc6674-968a-4d79-bca9-9841a94a8820,Econ 350,Intermediate Macroeconomics,1,1,exact,{1: 1},no
5cdca445-4c73-4f25-8829-365efcc07992,Econ 351,Comparative Economic Systems,1,1,exact,{1: 1},no
7039effb-053d-4945-b879-73549cd05fa4,Econ 361,Statistics and Research Methods for Economists,1,1,exact,{1: 1},no
40c68e90-5e40-40b4-81b5-7aa54e6abdce,Econ 365,Econometrics I,1,1,exact,{1: 1},no
4643ca4f-12b1-4c5d-9c19-443e04992d13,Econ 367,Industrial Organization,1,1,exact,{1: 1},no
